Date,Open,High,Low,Close
05-May-17,2329.47,2332.61,2298.66,2302.39
08-May-17,2305.07,2326.1,2298.91,2321.29
09-May-17,2326.43,2350.2,2323.4,2344.34
10-May-17,2351.5,2372.33,2351.49,2365.58
11-May-17,2366.42,2369.13,2332.73,2336.74
12-May-17,2345.84,2347.84,2314.92,2317.81
15-May-17,2326.45,2337.33,2320.8,2332.53
16-May-17,2337.42,2347.98,2330.9,2336.17
17-May-17,2341.3,2356.62,2332.61,2339.49
18-May-17,2329.1,2334.87,2284.53,2289.34
19-May-17,2313.07,2326.73,2287.2,2293.57
22-May-17,2305.13,2314.91,2258.17,2265.37
23-May-17,2269.12,2269.12,2206.67,2222.57
24-May-17,2230.58,2238.31,2180.63,2189.57
25-May-17,2206.47,2213.81,2180.86,2203.67
26-May-17,2211,2243.04,2206.13,2239.22
29-May-17,2268.79,2268.79,2198.36,2213.45
30-May-17,2207.76,2215.46,2181.88,2208.93
31-May-17,2210.98,2233.3,2209.26,2220.59
01-Jun-17,2222.76,2226.63,2204.93,2214.84
02-Jun-17,2222.13,2237.97,2220.48,2231.06
05-Jun-17,2233.05,2241.35,2225.49,2229.62
06-Jun-17,2235.14,2235.72,2188.56,2193.41
07-Jun-17,2196.95,2205.53,2192.19,2202.36
08-Jun-17,2198.45,2211.65,2191.54,2207.86
09-Jun-17,2211.25,2221.69,2201.52,2208.58
12-Jun-17,2206.72,2209.23,2192.95,2206.63
13-Jun-17,2204.21,2234.53,2204.21,2223.87
14-Jun-17,2229.35,2230.57,2212.51,2224.56
15-Jun-17,2221.56,2240.4,2217.33,2225.71
16-Jun-17,2227.33,2237.87,2221.21,2227.1
19-Jun-17,2232.34,2240.52,2229.19,2236.69
20-Jun-17,2237.64,2252.4,2218.67,2232.05
21-Jun-17,2232.75,2239.33,2224.04,2236.3
22-Jun-17,2238.25,2253.09,2215.48,2218.16
23-Jun-17,2220.81,2228.69,2203.96,2209.19
27-Jun-17,2210.55,2216.88,2182.07,2194.71
28-Jun-17,2196.8,2214.2,2187.06,2208.71
29-Jun-17,2210.32,2229.12,2209.35,2213.05
30-Jun-17,2207.16,2228.36,2207.16,2225.54
03-Jul-17,2227.36,2232.23,2219.71,2227.59
04-Jul-17,2240.05,2245.68,2218.97,2221.06
05-Jul-17,2222.29,2234.5,2222.06,2231.66
06-Jul-17,2233.89,2237.85,2224.64,2228.13
07-Jul-17,2231.59,2236.2,2225.2,2231.51
10-Jul-17,2239.24,2257.32,2239.24,2253.62
11-Jul-17,2259.56,2276.26,2251.44,2259.1
12-Jul-17,2273,2275.69,2261.22,2269.64
13-Jul-17,2284.17,2291.04,2275.44,2279.45
14-Jul-17,2289.53,2289.94,2270.4,2286.71
17-Jul-17,2293.1,2302.39,2289.74,2293.79
18-Jul-17,2296.13,2308.21,2274.02,2280.09
19-Jul-17,2284.75,2308.08,2284.73,2301.43
20-Jul-17,2309.51,2312.61,2295.84,2299.32
21-Jul-17,2299.01,2302.54,2268.64,2289.7
24-Jul-17,2290.07,2303.96,2288.93,2293.55
25-Jul-17,2295.29,2303.1,2286.45,2288.79
26-Jul-17,2296.63,2310.81,2293.77,2302.64
27-Jul-17,2307.26,2315.65,2290.59,2296.16
28-Jul-17,2290.21,2300.87,2281.12,2295.79
31-Jul-17,2303.35,2327.37,2301.49,2323.61
01-Aug-17,2331.85,2332.32,2314.36,2321.74
02-Aug-17,2332.2,2343.08,2319.97,2324.4
03-Aug-17,2328.01,2339.1,2309.15,2318.29
04-Aug-17,2321.93,2339.46,2307.65,2336.17
07-Aug-17,2338.34,2347.63,2330.92,2341.56
08-Aug-17,2338.04,2343.19,2287.31,2297.65
09-Aug-17,2294.45,2314.31,2279.74,2287.64
10-Aug-17,2284.73,2285.02,2206.11,2224.08
11-Aug-17,2203.02,2222.43,2185.85,2210.77
14-Aug-17,2231.37,2272.04,2229.51,2266.06
16-Aug-17,2277.06,2287.33,2261.77,2275.16
17-Aug-17,2283.87,2298.84,2269.26,2294.61
18-Aug-17,2293.95,2294.31,2271.52,2284.97
